feature,score
stg2_examount1_min,10
stg3_examount1_median,10
stg2_examount1_mean,9
stg4_examount1_max_min,9
stg1_examount0_var,9
browse_count_max_min_gt,9
examount1_mean_lt,9
examount0_max_min_gt,9
stg5_browser_data_log_cnt,9
stg5_examount1_min,9
stg1_browser_data_var,9
stg5_browse_count_var,9
stg1_examount0_mean,9
stg4_browser_data_var,8
stg5_browser_data_std,8
stg3_browse_count_count,8
stg1_examount1_median,8
stg2_examount0_var,8
examount1_var_all,8
edu4,8
examount0_median_lt,8
examount1_var_gt,8
stg1_browser_data_max_min,8
examount1_max_min_all,8
stg1_examount1_min,8
stg5_examount0_max,7
examount0_std_lt,7
stg4_examount0_std,7
examount0_cnt_lt,7
max_amount_expend,7
examount0_max_lt,7
stg5_examount0_std,7
mean_amount_expend,7
job3,7
examount1_mean_all,7
examount1_var_lt,7
stg5_examount1_cnt,6
marriage1,6
stg1_examount0_min,6
stg3_browser_data_max_min,6
examount1_min_lt,6
min_amount_BankStatement,6
examount1_max_lt,6
examount1_median_gt,6
stg2_browser_data_log_cnt,6
examount0_var_all,6
examount0_std_gt,6
stg4_examount1_median,6
stg1_examount0_cnt,6
examount1time_min,6
stg5_browse_count_std,5
stg1_browse_count_count,5
examount1_max_min_gt,5
sum_amount_BankStatement,5
examount1_median_lt,5
examount1_min_gt,5
job4,5
job2,5
edu3,5
stg5_examount0_var,5
examount0_var_lt,5
account1,5
stg5_browser_data_max_min,5
emptyRatio,4
sum_amount_income,4
examount0_cnt_all,4
stg5_examount0_cnt,4
sum_amount_expend,4
max_amount_income,4
stg5_browser_data_var,4
stg4_browse_count_count,4
browse_count_count_gt,4
min_amount_noSalaryIncome,4
stg5_examount1_max,4
examount0_min_all,3
marriage2,3
examount1_median_all,3
consume_amount_min,3
stg5_browse_count_count,3
stg4_browser_data_max_min,3
examount1_cnt_all,3
min_amount_income,3
examount0_min_gt,3
account4,3
account3,3
examount0_var_gt,2
examount1_min_all,2
examount0_cnt_gt,2
max_amount_noSalaryIncome,2
browseSubBehavior_9,2
examount0_max_all,2
browse_count_var_gt,2
marriage4,1
min_timeToEmpty,1
marriage0,1
